EP,guild1_prob,guild2_prob,guild3_prob
0.4,0.44,0.43,0.29
0.38,0.43,0.44,0.29
0.36,0.43,0.44,0.3
0.34,0.43,0.45,0.31
0.32,0.42,0.46,0.31
0.315,0.42,0.46,0.31
0.299,0.42,0.47,0.32
0.285,0.42,0.47,0.33
0.257,0.41,0.48,0.34
0.2,0.39,0.51,0.37
0.18,0.39,0.52,0.38
0.14,0.37,0.54,0.41
0.1,0.35,0.57,0.44
0.05,0.31,0.61,0.51
0.027,0.28,0.63,0.55
0.022,0.27,0.64,0.57
0.017,0.25,0.64,0.58
0.01,0.23,0.64,0.6
0.005,0.2,0.62,0.62
0.004,0.19,0.62,0.62
0.002,0.16,0.58,0.62
0.0003,0.1,0.38,0.55
0.0002,0.09,0.32,0.52
0.0001,0.08,0.23,0.46
0.00003,0.06,0.1,0.33
0.00002,0.05,0.07,0.28
0.00001,0.05,0.04,0.2
0.000003,0.03,0.01,0.09
